CustomerID,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single
50001,1,4.0,3,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,160,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
50004,1,0.0,3,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
50006,1,0.0,1,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
50012,1,11.0,1,6.0,3.0,4,3,10,1,13.0,0.0,1.0,0.0,154,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
50013,1,0.0,1,11.0,2.0,3,3,2,1,13.0,2.0,2.0,2.0,134,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True
50014,1,0.0,1,15.0,3.0,4,3,1,1,17.0,0.0,1.0,0.0,134,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
50015,1,9.0,3,15.0,3.0,4,2,2,0,16.0,0.0,4.0,7.0,196,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
50018,1,0.0,3,11.0,2.0,4,3,2,1,11.0,1.0,1.0,3.0,157,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
50019,1,0.0,1,13.0,3.0,5,3,2,1,24.0,1.0,1.0,6.0,161,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
50020,1,19.0,1,20.0,3.0,3,4,10,1,18.0,1.0,4.0,3.0,150,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
50021,1,0.0,3,12.0,3.0,5,3,5,1,18.0,6.0,7.0,7.0,162,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
50022,1,20.0,1,29.0,3.0,3,2,2,0,12.0,11.0,15.0,6.0,203,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
50024,1,0.0,3,26.0,3.0,5,3,4,1,11.0,1.0,2.0,2.0,146,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
50025,1,14.0,1,14.0,2.0,5,2,3,0,15.0,0.0,1.0,3.0,207,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
50026,1,0.0,1,15.0,2.0,3,5,8,0,22.0,1.0,1.0,4.0,142,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
50027,0,8.0,3,6.0,3.0,3,4,2,0,13.0,1.0,1.0,6.0,173,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
50030,0,5.0,3,14.0,2.0,3,2,2,0,14.0,2.0,3.0,7.0,190,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
